Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,Quantity,Quantity Mean,Quantity SD,RQ,RQ Min,RQ Max,CT,Ct Mean,Ct SD,Delta Ct,Delta Ct Mean,Delta Ct SD,Delta Ct SE,Delta Delta Ct,Tm1,Automatic Ct Threshold,Tm2,Ct Threshold,Tm3,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,MTP,EXPFAIL,PRFLOW,NOISE,NOAMP,PRFDROP,CTFAIL,CQCONF,HIGHSD,Tm4
1,A1,FALSE,Sample 1,Target 1,UNKNOWN,FAM,NFQ-MGB,,,,,,,20.902,25.550,5.392,,,,,,84.715,TRUE,,0.282,,TRUE,3,15,Amp,,N,N,N,N,N,N,N,N,Y,
2,A2,FALSE,Sample 1,Target 1,UNKNOWN,FAM,NFQ-MGB,,,,,,,20.824,25.550,5.392,,,,,,84.715,TRUE,,0.282,,TRUE,3,15,Amp,,N,N,N,N,N,N,N,N,Y,
3,A3,FALSE,Sample 1,Target 1,UNKNOWN,FAM,NFQ-MGB,,,,,,,20.860,25.550,5.392,,,,,,84.573,TRUE,,0.282,,TRUE,3,15,Amp,,N,N,N,N,N,N,N,N,Y,
4,A4,FALSE,Sample 1,Target 1,UNKNOWN,FAM,NFQ-MGB,,,,,,,32.967,25.550,5.392,,,,,,86.552,TRUE,,0.282,,TRUE,3,27,Amp,,N,N,N,N,N,N,N,N,Y,
5,A5,FALSE,Sample 1,Target 1,UNKNOWN,FAM,NFQ-MGB,,,,,,,34.453,25.550,5.392,,,,,,86.976,TRUE,91.781,0.282,,TRUE,3,27,Amp,,Y,N,N,N,N,N,N,N,Y,
6,A6,FALSE,Sample 1,Target 1,UNKNOWN,FAM,NFQ-MGB,,,,,,,36.317,25.550,5.392,,,,,,66.767,TRUE,87.117,0.282,91.781,TRUE,3,28,Amp,,Y,N,N,N,N,N,N,N,Y,
7,A7,FALSE,Sample 1,Target 1,UNKNOWN,FAM,NFQ-MGB,,,,,,,24.684,25.550,5.392,,,,,,87.400,TRUE,,0.282,,TRUE,3,19,Amp,,N,N,N,N,N,N,N,N,Y,
8,A8,FALSE,Sample 1,Target 1,UNKNOWN,FAM,NFQ-MGB,,,,,,,24.671,25.550,5.392,,,,,,87.258,TRUE,,0.282,,TRUE,3,19,Amp,,N,N,N,N,N,N,N,N,Y,
9,A9,FALSE,Sample 1,Target 1,UNKNOWN,FAM,NFQ-MGB,,,,,,,24.807,25.550,5.392,,,,,,87.258,TRUE,,0.282,,TRUE,3,19,Amp,,N,N,N,N,N,N,N,N,Y,
10,A10,FALSE,Sample 1,Target 1,UNKNOWN,FAM,NFQ-MGB,,,,,,,20.859,25.550,5.392,,,,,,85.563,TRUE,,0.282,,TRUE,3,15,Amp,,N,N,N,N,N,N,N,N,Y,
11,A11,FALSE,Sample 1,Target 1,UNKNOWN,FAM,NFQ-MGB,,,,,,,21.075,25.550,5.392,,,,,,85.704,TRUE,,0.282,,TRUE,3,15,Amp,,N,N,N,N,N,N,N,N,Y,
12,A12,FALSE,Sample 1,Target 1,UNKNOWN,FAM,NFQ-MGB,,,,,,,21.099,25.550,5.392,,,,,,85.704,TRUE,,0.282,,TRUE,3,16,Amp,,N,N,N,N,N,N,N,N,Y,
13,B1,FALSE,Sample 1,Target 1,UNKNOWN,FAM,NFQ-MGB,,,,,,,28.123,25.550,5.392,,,,,,84.432,TRUE,,0.282,,TRUE,3,22,Amp,,N,N,N,N,N,N,N,N,Y,
14,B2,FALSE,Sample 1,Target 1,UNKNOWN,FAM,NFQ-MGB,,,,,,,28.368,25.550,5.392,,,,,,84.432,TRUE,,0.282,,TRUE,3,22,Amp,,N,N,N,N,N,N,N,N,Y,
15,B3,FALSE,Sample 1,Target 1,UNKNOWN,FAM,NFQ-MGB,,,,,,,28.262,25.550,5.392,,,,,,84.291,TRUE,,0.282,,TRUE,3,22,Amp,,N,N,N,N,N,N,N,N,Y,
16,B4,FALSE,Sample 1,Target 1,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,25.550,5.392,,,,,,85.421,TRUE,90.509,0.282,93.052,TRUE,3,39,No Amp,,Y,Y,N,N,Y,N,N,Y,N,82.171
17,B5,FALSE,Sample 1,Target 1,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,25.550,5.392,,,,,,79.768,TRUE,,0.282,,TRUE,3,35,No Amp,,N,N,N,N,N,N,N,Y,N,
18,B6,FALSE,Sample 1,Target 1,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,25.550,5.392,,,,,,80.616,TRUE,,0.282,,TRUE,3,35,No Amp,,N,N,N,N,N,N,N,Y,N,
19,B7,FALSE,Sample 1,Target 1,UNKNOWN,FAM,NFQ-MGB,,,,,,,29.763,25.550,5.392,,,,,,87.117,TRUE,,0.282,,TRUE,3,24,Amp,,N,N,N,N,N,N,N,N,Y,
20,B8,FALSE,Sample 1,Target 1,UNKNOWN,FAM,NFQ-MGB,,,,,,,30.097,25.550,5.392,,,,,,87.117,TRUE,,0.282,,TRUE,3,24,Amp,,N,N,N,N,N,N,N,N,Y,
21,B9,FALSE,Sample 1,Target 1,UNKNOWN,FAM,NFQ-MGB,,,,,,,29.822,25.550,5.392,,,,,,86.976,TRUE,,0.282,,TRUE,3,24,Amp,,N,N,N,N,N,N,N,N,Y,
22,B10,FALSE,Sample 1,Target 1,UNKNOWN,FAM,NFQ-MGB,,,,,,,27.660,25.550,5.392,,,,,,85.421,TRUE,,0.282,,TRUE,3,21,Amp,,N,N,N,N,N,N,N,N,Y,
23,B11,FALSE,Sample 1,Target 1,UNKNOWN,FAM,NFQ-MGB,,,,,,,27.535,25.550,5.392,,,,,,85.421,TRUE,,0.282,,TRUE,3,21,Amp,,N,N,N,N,N,N,N,N,Y,
24,B12,FALSE,Sample 1,Target 1,UNKNOWN,FAM,NFQ-MGB,,,,,,,27.301,25.550,5.392,,,,,,85.421,TRUE,,0.282,,TRUE,3,21,Amp,,N,N,N,N,N,N,N,N,Y,
