Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,Quantity,Quantity Mean,Quantity SD,RQ,RQ Min,RQ Max,CT,Ct Mean,Ct SD,Delta Ct,Delta Ct Mean,Delta Ct SD,Delta Ct SE,Delta Delta Ct,Tm1,Automatic Ct Threshold,Tm2,Ct Threshold,Tm3,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,CQCONF,MTP,HIGHSD,OUTLIERRG,Tm4
1,A1,FALSE,GAPDH,HOM 10-1,UNKNOWN,SYBR,None,,,,1.000,0.916,1.092,19.185,19.205,0.050,,-2.059,0.079,0.046,0.000,84.719,TRUE,,0.126,,TRUE,3,14,Amp,,N,N,N,N,
2,A2,FALSE,GAPDH,HOM 10-1,UNKNOWN,SYBR,None,,,,1.000,0.916,1.092,19.167,19.205,0.050,,-2.059,0.079,0.046,0.000,84.719,TRUE,,0.126,,TRUE,3,15,Amp,,N,N,N,N,
3,A3,FALSE,GAPDH,HOM 10-1,UNKNOWN,SYBR,None,,,,1.000,0.916,1.092,19.262,19.205,0.050,,-2.059,0.079,0.046,0.000,84.577,TRUE,,0.126,,TRUE,3,15,Amp,,N,N,N,N,
4,A4,FALSE,MAFB SARA,HOM 10-1,UNKNOWN,SYBR,None,,,,0.459,0.099,2.135,34.483,34.499,0.157,,-0.936,1.383,0.799,1.123,86.556,TRUE,,0.126,,TRUE,3,29,Amp,,N,N,N,N,
5,A5,FALSE,MAFB SARA,HOM 10-1,UNKNOWN,SYBR,None,,,,0.459,0.099,2.135,34.350,34.499,0.157,,-0.936,1.383,0.799,1.123,67.474,TRUE,91.927,0.126,87.404,TRUE,3,29,Amp,,N,Y,N,N,
6,A6,FALSE,MAFB SARA,HOM 10-1,UNKNOWN,SYBR,None,,,,0.459,0.099,2.135,34.664,34.499,0.157,,-0.936,1.383,0.799,1.123,86.698,TRUE,82.740,0.126,,TRUE,3,30,Amp,,N,Y,N,N,
7,A7,FALSE,MAFB SK,HOM 10-1,UNKNOWN,SYBR,None,,,,0.659,0.459,0.947,25.211,25.228,0.111,,-1.457,0.326,0.188,0.601,87.404,TRUE,,0.126,,TRUE,3,20,Amp,,N,N,N,N,
8,A8,FALSE,MAFB SK,HOM 10-1,UNKNOWN,SYBR,None,,,,0.659,0.459,0.947,25.347,25.228,0.111,,-1.457,0.326,0.188,0.601,87.263,TRUE,,0.126,,TRUE,3,21,Amp,,N,N,N,N,
9,A9,FALSE,MAFB SK,HOM 10-1,UNKNOWN,SYBR,None,,,,0.659,0.459,0.947,25.127,25.228,0.111,,-1.457,0.326,0.188,0.601,87.263,TRUE,,0.126,,TRUE,3,20,Amp,,N,N,N,N,
10,A10,FALSE,PODXL,HOM 10-1,UNKNOWN,SYBR,None,,,,0.573,0.549,0.597,21.743,21.740,0.005,,-1.254,0.038,0.022,0.805,85.567,TRUE,,0.126,,TRUE,3,17,Amp,,N,N,N,N,
11,A11,FALSE,PODXL,HOM 10-1,UNKNOWN,SYBR,None,,,,0.573,0.549,0.597,21.742,21.740,0.005,,-1.254,0.038,0.022,0.805,85.708,TRUE,,0.126,,TRUE,3,17,Amp,,N,N,N,N,
12,A12,FALSE,PODXL,HOM 10-1,UNKNOWN,SYBR,None,,,,0.573,0.549,0.597,21.735,21.740,0.005,,-1.254,0.038,0.022,0.805,85.708,TRUE,,0.126,,TRUE,3,17,Amp,,N,N,N,N,
13,B1,FALSE,GAPDH,HOM 10-2,UNKNOWN,SYBR,None,,,,1.000,0.844,1.185,20.405,20.244,0.140,,-1.019,0.153,0.088,0.000,84.577,TRUE,,0.447,,TRUE,3,14,Amp,,N,N,N,N,
14,B2,FALSE,GAPDH,HOM 10-2,UNKNOWN,SYBR,None,,,,1.000,0.844,1.185,20.165,20.244,0.140,,-1.019,0.153,0.088,0.000,84.577,TRUE,,0.447,,TRUE,3,14,Amp,,N,N,N,N,
15,B3,FALSE,GAPDH,HOM 10-2,UNKNOWN,SYBR,None,,,,1.000,0.844,1.185,20.160,20.244,0.140,,-1.019,0.153,0.088,0.000,84.436,TRUE,,0.447,,TRUE,3,14,Amp,,N,N,N,N,
16,B4,FALSE,MAFB SARA,HOM 10-2,UNKNOWN,SYBR,None,,,,4.421,0.958,20.397,32.234,32.271,0.073,,-3.164,1.376,0.794,-2.144,86.274,TRUE,,0.447,,TRUE,3,25,Amp,,N,N,N,N,
17,B5,FALSE,MAFB SARA,HOM 10-2,UNKNOWN,SYBR,None,,,,4.421,0.958,20.397,32.224,32.271,0.073,,-3.164,1.376,0.794,-2.144,86.415,TRUE,91.786,0.447,,TRUE,3,25,Amp,,N,Y,N,N,
18,B6,FALSE,MAFB SARA,HOM 10-2,UNKNOWN,SYBR,None,,,,4.421,0.958,20.397,32.355,32.271,0.073,,-3.164,1.376,0.794,-2.144,86.556,TRUE,,0.447,,TRUE,3,25,Amp,,N,N,N,N,
19,B7,FALSE,MAFB SK,HOM 10-2,UNKNOWN,SYBR,None,,,,2.275,1.597,3.241,24.386,24.480,0.084,,-2.205,0.318,0.184,-1.186,87.263,TRUE,,0.447,,TRUE,3,18,Amp,,N,N,N,N,
20,B8,FALSE,MAFB SK,HOM 10-2,UNKNOWN,SYBR,None,,,,2.275,1.597,3.241,24.549,24.480,0.084,,-2.205,0.318,0.184,-1.186,87.263,TRUE,,0.447,,TRUE,3,18,Amp,,N,N,N,N,
21,B9,FALSE,MAFB SK,HOM 10-2,UNKNOWN,SYBR,None,,,,2.275,1.597,3.241,24.506,24.480,0.084,,-2.205,0.318,0.184,-1.186,87.263,TRUE,,0.447,,TRUE,3,18,Amp,,N,N,N,N,
22,B10,FALSE,PODXL,HOM 10-2,UNKNOWN,SYBR,None,,,,2.653,2.357,2.987,20.617,20.567,0.100,,-2.427,0.107,0.062,-1.408,85.567,TRUE,,0.447,,TRUE,3,14,Amp,,N,N,N,N,
23,B11,FALSE,PODXL,HOM 10-2,UNKNOWN,SYBR,None,,,,2.653,2.357,2.987,20.452,20.567,0.100,,-2.427,0.107,0.062,-1.408,85.708,TRUE,,0.447,,TRUE,3,14,Amp,,N,N,N,N,
24,B12,FALSE,PODXL,HOM 10-2,UNKNOWN,SYBR,None,,,,2.653,2.357,2.987,20.631,20.567,0.100,,-2.427,0.107,0.062,-1.408,85.708,TRUE,,0.447,,TRUE,3,14,Amp,,N,N,N,N,
